>> MOGAMO

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   65          2640         0.02306          0.0269        0
   66          2680         0.02427         0.02629        1
   67          2720         0.02431         0.02676        2
   68          2760         0.02417         0.02663        0
   69          2800         0.02322         0.02624        0
   70          2840         0.02313          0.0262        0
   71          2880         0.02456         0.02661        1
   72          2920         0.02381          0.0265        0
   73          2960         0.02477         0.02656        1
   74          3000         0.02451         0.02658        0
   75          3040         0.02308         0.02678        0
   76          3080         0.02377         0.02618        1
   77          3120         0.02413          0.0265        2
   78          3160         0.02366         0.02676        0
   79          3200         0.02385         0.02654        1
   80          3240         0.02503         0.02656        2
   81          3280         0.02377          0.0265        0
   82          3320         0.02303         0.02645        0
   83          3360         0.02436          0.0267        1
   84          3400         0.02426         0.02651        0
   85          3440          0.0235         0.02639        0
   86          3480         0.02354         0.02621        1
   87          3520         0.02467         0.02675        2
   88          3560         0.02336         0.02696        0
Optimization terminated: average change in the penalty fitness value less than options.FunctionTolerance
and constraint violation is less than options.ConstraintTolerance.
Elapsed time is 19132.158985 seconds.

Best options for fonsecafleming:

ans = 

  struct with fields:

    CrossoverFraction: 1
         CrossoverFcn: @crossoverarithmetic


                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1            80          0.5296          0.6627        0
    2           120          0.5168          0.6104        0
    3           160          0.5142          0.5986        0
    4           200          0.5112          0.5863        0
    5           240          0.5232          0.5782        1
    6           280          0.5309          0.5748        2
    7           320          0.5434          0.5843        3
    8           360          0.5279          0.5947        0
    9           400          0.5345          0.5994        1
   10           440           0.536          0.5743        2
   11           480          0.5262          0.5857        0
   12           520          0.5386          0.5868        1
   13           560          0.5168          0.5766        0
   14           600           0.521          0.5868        1
   15           640           0.527          0.5759        2
   16           680          0.5324          0.5783        3
   17           720          0.5375          0.6001        4
   18           760          0.5339          0.5875        0
   19           800          0.5194          0.5791        0
   20           840          0.5366          0.5751        1
   21           880          0.5321          0.5836        0
   22           920          0.5142          0.5842        0
   23           960          0.5221           0.581        1
   24          1000          0.5285          0.5752        2
   25          1040          0.5356          0.5835        3
   26          1080          0.5281          0.5788        0
   27          1120          0.5335          0.5766        1
   28          1160          0.5282          0.5877        0
   29          1200          0.5245          0.5797        0

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   30          1240          0.5207          0.5819        0
   31          1280          0.5307          0.5851        1
   32          1320          0.5408          0.5815        2
   33          1360          0.5288          0.5909        0
   34          1400          0.5208          0.5715        0
   35          1440          0.5295          0.5789        1
   36          1480          0.5281          0.5753        0
   37          1520           0.545          0.5825        1
   38          1560          0.5319           0.591        0
   39          1600          0.5375          0.5805        1
   40          1640          0.5266           0.572        0
   41          1680          0.5273          0.5799        1
   42          1720          0.5359          0.5786        2
   43          1760          0.5245          0.5748        0
   44          1800          0.5117          0.5801        0
   45          1840          0.5412          0.5859        1
   46          1880          0.5316          0.5879        0
   47          1920          0.5324          0.5732        1
   48          1960          0.5286            0.58        0
   49          2000          0.5226          0.5739        0
   50          2040          0.5259          0.5762        1
   51          2080          0.5433          0.5873        2
   52          2120          0.5389          0.5786        0
   53          2160          0.5389          0.5871        0
   54          2200          0.5184          0.5943        0
   55          2240          0.5272          0.5833        1
   56          2280          0.5184          0.5803        0
   57          2320          0.5365          0.5748        1
   58          2360          0.5239          0.5849        0
   59          2400          0.5177          0.5825        0

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   60          2440          0.5354           0.595        1
   61          2480          0.5281          0.5878        0
   62          2520          0.5347          0.5858        1
   63          2560          0.5363          0.5772        2
   64          2600          0.5224          0.5692        0
   65          2640            0.53          0.5858        1
   66          2680          0.5308          0.5778        2
   67          2720          0.5441          0.5765        3
   68          2760            0.53          0.5715        0
   69          2800          0.5347           0.573        1
   70          2840          0.5403          0.5783        2
   71          2880          0.5234          0.5847        0
   72          2920          0.5207           0.586        0
   73          2960          0.5257          0.5945        1
   74          3000          0.5364          0.5837        2
   75          3040          0.5339          0.5826        0
   76          3080          0.5262           0.584        0
   77          3120          0.5315           0.581        1
   78          3160          0.5211          0.5778        0
   79          3200          0.5352           0.583        1
   80          3240          0.5304           0.574        0
   81          3280          0.5183          0.5759        0
   82          3320          0.5354          0.5755        1
   83          3360          0.5219          0.5818        0
   84          3400          0.5331          0.5913        1
   85          3440          0.5347          0.5867        2
   86          3480          0.5402          0.5891        3
