>> MOGAMO
Starting parallel pool (parpool) using the 'local' profile ... connected to 8 workers.

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   37           760          0.2078           0.241        0
   38           780          0.2063          0.2364        0
   39           800           0.192          0.2319        0
   40           820          0.2079          0.2347        1
   41           840          0.1989          0.2336        0
   42           860          0.1942          0.2331        0
   43           880          0.2038          0.2358        1
   44           900          0.2067           0.232        2
   45           920          0.1786          0.2392        0
   46           940          0.2182          0.2336        1
   47           960          0.2066          0.2402        0
   48           980          0.2081          0.2477        1
   49          1000          0.2004          0.2302        0
   50          1020          0.1997           0.232        0
   51          1040          0.2027          0.2278        1
   52          1060          0.1973          0.2283        0
   53          1080          0.2101          0.2235        1
   54          1100          0.2113          0.2268        2
   55          1120          0.1783          0.2193        0
   56          1140           0.207          0.2319        1
   57          1160          0.2009           0.227        0
   58          1180          0.1969           0.233        0
   59          1200          0.2047          0.2291        1

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   60          1220          0.2022           0.227        0
Optimization terminated: maximum number of generations exceeded.
Elapsed time is 8212.409605 seconds.

Best options for schaffer:

ans = 

  struct with fields:

    CrossoverFraction: 1
         CrossoverFcn: @crossoverarithmetic

IdleTimeout has been reached.
Parallel pool using the 'local' profile is shutting down.
>> 
